?p	?cp
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	38661982
<http://www.w3.org/ns/lemon/ontolex#writtenRep>	13643560
<http://www.w3.org/ns/lemon/ontolex#otherForm>	8234539
<http://kaiko.getalp.org/dbnary#isTranslationOf>	7356224
<http://kaiko.getalp.org/dbnary#writtenForm>	6876306
<http://kaiko.getalp.org/dbnary#targetLanguage>	6851184
<http://purl.org/olia/olia.owl#hasNumber>	6337855
<http://kaiko.getalp.org/dbnary#gloss>	5432552
<http://kaiko.getalp.org/dbnary#partOfSpeech>	5123810
<http://purl.org/dc/terms/language>	5117808
<http://www.w3.org/ns/lemon/lime#language>	5117808
<http://kaiko.getalp.org/dbnary#describes>	5117787
<http://www.w3.org/ns/lemon/ontolex#canonicalForm>	5117787
<http://www.w3.org/1999/02/22-rdf-syntax-ns#value>	4842484
<http://www.lexinfo.net/ontology/2.0/lexinfo#partOfSpeech>	4640849
<http://kaiko.getalp.org/dbnary#senseNumber>	4046225
<http://www.w3.org/2004/02/skos/core#definition>	3730730
<http://www.w3.org/ns/lemon/ontolex#sense>	3730545
<http://purl.org/olia/olia.owl#hasCase>	3229503
<http://www.lexinfo.net/ontology/2.0/lexinfo#number>	2026608
<http://www.lexinfo.net/ontology/2.0/lexinfo#person>	1978205
<http://kaiko.getalp.org/dbnary#usage>	1964926
<http://www.lexinfo.net/ontology/2.0/lexinfo#tense>	1958494
<http://purl.org/olia/olia.owl#hasMood>	1920758
<http://purl.org/olia/olia.owl#hasGender>	1852690
<http://www.lexinfo.net/ontology/2.0/lexinfo#verbFormMood>	1803359
<http://purl.org/olia/olia.owl#hasPerson>	1737175
<http://purl.org/olia/olia.owl#hasTense>	1711235
<http://www.lexinfo.net/ontology/2.0/lexinfo#pronunciation>	1516042
<http://purl.org/olia/olia.owl#hasVoice>	1281850
<http://purl.org/olia/olia.owl#hasDegree>	1222125
<http://www.w3.org/2004/02/skos/core#note>	1000860
<http://purl.org/olia/olia.owl#hasInflectionType>	992115
<http://kaiko.getalp.org/dbnary#synonym>	983138
<http://www.lexinfo.net/ontology/2.0/lexinfo#gender>	946492
<http://www.w3.org/ns/lemon/ontolex#phoneticRep>	696696
<http://www.w3.org/2004/02/skos/core#example>	634428
<http://kaiko.getalp.org/dbnary#rank>	625166
<http://www.w3.org/1999/02/22-rdf-syntax-ns#object>	555032
<http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate>	555032
<http://www.w3.org/1999/02/22-rdf-syntax-ns#subject>	555032
<http://purl.org/dc/terms/bibliographicCitation>	360168
<http://purl.org/olia/olia.owl#hasCountability>	359421
<http://kaiko.getalp.org/dbnary#hypernym>	259464
<http://kaiko.getalp.org/dbnary#hyponym>	257491
<http://kaiko.getalp.org/dbnary#antonym>	229992
<http://www.lexinfo.net/ontology/2.0/lexinfo#animacy>	59100
<http://www.w3.org/ns/lemon/vartrans#lexicalRel>	42570
<http://kaiko.getalp.org/dbnary#targetLanguageCode>	25121
<http://www.lexinfo.net/ontology/2.0/lexinfo#root>	16177
<http://kaiko.getalp.org/dbnary#meronym>	12685
<http://kaiko.getalp.org/dbnary#holonym>	7870
<http://kaiko.getalp.org/dbnary#approximateSynonym>	5673
<http://www.lexinfo.net/ontology/2.0/lexinfo#abbreviationFor>	661
<http://purl.org/olia/olia.owl#hasValency>	421
<http://purl.org/olia/olia.owl#hasSeparability>	278
<http://kaiko.getalp.org/dbnary#troponym>	150
<http://www.w3.org/2000/01/rdf-schema#subPropertyOf>	69
<http://purl.org/olia/olia.owl#hasDefiniteness>	32
<http://purl.org/dc/terms/description>	21
<http://www.lexinfo.net/ontology/2.0/lexinfo#relatedTerm>	10
<http://www.w3.org/2000/01/rdf-schema#subClassOf>	9
<http://www.w3.org/2000/01/rdf-schema#domain>	6
<http://www.w3.org/2000/01/rdf-schema#range>	6
<http://proton.semanticweb.org/protonsys#transitiveOver>	5
<http://www.w3.org/2002/07/owl#inverseOf>	4 
