?p	?cp
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	13346182
<http://www.w3.org/ns/lemon/ontolex#writtenRep>	13495389
<http://purl.org/olia/olia.owl#hasCase>	3229503
<http://purl.org/olia/olia.owl#hasDegree>	1222125
<http://purl.org/olia/olia.owl#hasGender>	1852690
<http://purl.org/olia/olia.owl#hasInflectionType>	991936
<http://purl.org/olia/olia.owl#hasNumber>	6337855
<http://purl.org/olia/olia.owl#hasMood>	1920758
<http://purl.org/olia/olia.owl#hasPerson>	1737175
<http://purl.org/olia/olia.owl#hasTense>	1711235
<http://purl.org/olia/olia.owl#hasVoice>	1281839
<http://www.w3.org/2004/02/skos/core#note>	1000860
<http://www.w3.org/ns/lemon/ontolex#phoneticRep>	696696
<http://www.lexinfo.net/ontology/2.0/lexinfo#number>	2026608
<http://www.lexinfo.net/ontology/2.0/lexinfo#person>	1978205
<http://www.lexinfo.net/ontology/2.0/lexinfo#pronunciation>	1516042
<http://www.lexinfo.net/ontology/2.0/lexinfo#tense>	1958494
<http://www.lexinfo.net/ontology/2.0/lexinfo#verbFormMood>	1803359
<http://www.lexinfo.net/ontology/2.0/lexinfo#gender>	751174
<http://www.lexinfo.net/ontology/2.0/lexinfo#animacy>	59100
<http://purl.org/olia/olia.owl#hasDefiniteness>	32 
<http://purl.org/olia/olia.owl#hasValency>	356
