lang/values;0_breakGuid;1_stemmGuid;2_isEuroTalk;3_isLingea;4_isGoethe;5_sqlQuery;6_lcid;7_isGoogleTrans
;{1D49F57D-47D2-4aee-A69B-593EC558773F}/NaturalLanguage6.dll;;;;;1;127;
af-ZA;;;1;;1;;1078;af
am-ET;;;;;;;1118;am
ar-SA;{04B37E30-C9A9-4A7D-8F20-792FC87DDF71}/MsWb7.dll;;1;;1;1;1025;ar
as-IN;;;1;;;;1101;
az-Latn;;;1;;;;30764;az
be-BY;;;;;1;;1059;be
bg-BG;{B675B948-FBA8-46a4-A4C7-D4291785127B}/NaturalLanguage6.dll;{3FAA93F3-79FB-4319-8387-B8FFE074FBDA}/NaturalLanguage6.dll;1;1;1;1;1026;bg
bn-BD;{05C9DA2B-6DFF-42c7-81CC-706DAE08BC7A}/NaturalLanguage6.dll;{89F38560-A0AE-4d8c-9E8F-83D4DB8A9F85}/NaturalLanguage6.dll;1;;1;1;2117;bn
bo-CN;;;1;;;;1105;
br-FR;;;1;;;;1150;
bs-Latn;;;;;1;;26650;bs
ca-ES;{3D0B8752-68F8-4f39-929D-DE20ED323F45}/NaturalLanguage6.dll;{697E2FF0-7FA8-49f1-BB4A-E1D115AA2BBB}/NaturalLanguage6.dll;1;;1;1;1027;ca
ceb-PH;;;;;;;4096;ceb
co-FR;;;1;;;;1155;co
cs-CZ;{468BFC77-3876-4A47-A6FF-F5F6E8EA7968}/MsWb7.dll;{F51B7203-9BF9-4C39-B655-18FAD8FA8A9A}/MsWb7.dll;1;1;1;1;1029;cs
cy-GB;;;;;;;1106;cy
da-DK;{4645F4F2-6359-4D81-BFB5-DAFBF89812B4}/MsWb7.dll;{950E4995-301B-4613-8042-F041BC34F32B}/MsWb7.dll;1;1;1;1;1030;da
de-DE;{DFA00C33-BF19-482E-A791-3C785B0149B4}/MsWb7.dll;{8A474D89-6E2F-419C-8DD5-9B50EDC8C787}/MsWb7.dll;1;1;1;1;1031;de
