abarque: abarca,abarques
aboque: aboca,aboques
aborde: abord,abordes
aborígen: aborigen,aborígens
abraçador: abraçadores,abraçadora
abrig: abrics,abriga
absente: absents,absenta
absoluto: absoluta,absolutos
abstractos: abstracte,abstracta
abstracts: abstracte,abstracta
absurd: absurdes,absurds
abundante: abundant,abundantes
acabar: acabades,acabat
acabo: acabades,acabat
acadèmique: acadèmic,acadèmiques
acave: acava,acaves
acceptar: accepta,acceptara
acompanyare: acompanyar,acompanyara
acordare: acordar,acordara
acorde: acord,acordes
acto: act,actos
actuada: actuo,actuat
actuades: actuo,actuat
actualitze: actualitza,actualitzes
actuats: actuo,actuat
acute: acut,acuta
addictive: addictiu,addictives
additive: additiva,additives
ade: ada,ades
adjective: adjectiu,adjectives
adjunte: adjunt,adjunta
adjunto: adjunt,adjuntos
admete: admet,admeta
administrative: administrativa,administratives
admir: admires,admirs
admirador: admiradores,admiradora
adobe: adob,adoba
adolescente: adolescents,adolescentes
adquirire: adquirir,adquirira
adresse: adressa,adresses
adulte: adult,adulta
adulto: adult,adultos
advocate: advocada,advocata
afalague: afalaga,afalagues
afecto: afectes,afectos
agafe: agafar,agafa
agafes: agafar,agafa
agradada: agrada,agradat
agradar: agrada,agradat
agradats: agrada,agradat
agressive: agressiva,agressives
aguante: aguant,aguanta
aixe: aix,aixes
ajorn: ajornes,ajorna
ajud: ajudo,ajuda,ajuds
ajuds: ajudo,ajuda
ajunt: ajuntes,ajunta
ajusto: ajusta,ajustos
alarmante: alarmants,alarmantes
albanés: albanès,albanesa
alert: alertes,alerta
alet: aletes,aleta
alié: aliè,aliens
allarg: allargues,allarga
alle: all,alla
almirante: almirant,almirantes
altare: altar,altares
alter: altera,alters
alternatiu: alternatives,alternatius
alum: alumes,alums
am: ames,ams
amac: amagues,amaques
amag: amagues,amaga
amante: amants,amanta
amare: amar,amara
ambiente: ambients,ambienta
amés: amès,amesos
amig: amic,amiga
amiguete: amiguets,amigueta
amore: amor,amora
an: ana,ans
analfabeto: analfabet,analfabetos
analític: analítiques,analítica
analitze: analitza,analitzes
anate: anat,anata
anave: anau,anaves
anc: anques,anca
ande: anda,andes
anim: animes,anims
animare: animar,animara
annexe: annexa,annexes
anomen: anomenes,anomens
antar: antares,antara
ante: ants,antes
antecedente: antecedent,antecedentes
antig: antigues,antiga
antique: antigues,antiques
antó: antò,antona
anunciante: anunciant,anunciantes
anunciare: anunciar,anunciara
anuncie: anuncia,anuncies
apag: apagues,apaga
aparegue: aparega,aparegues
aparelle: aparells,aparella
aparque: aparca,aparques
ape: ap,apa
aplic: apliques,aplica
aprecie: aprecia,aprecies
aprovada: aprova,aprovat
aprovades: aprova,aprovat
aprovats: aprova,aprovat
aprove: aprova,aproves
apto: aptes,aptos
aqueste: aquest,aquesta
aquesto: aquest,aquestos
arà: aran,arana
argumento: argument,argumentos
ariete: ariet,arietes
arm: arma,arms
armamento: armament,armamentos
aromàtic: aromàtiques,aromàtica
arque: arcs,arques
arquitecto: arquitectes,arquitectos
arranque: arranca,arranques
arrele: arrels,arrela
arrenque: arrenca,arrenques
arreplegue: arreplega,arreplegues
arreste: arrest,arresta
arribave: arribava,arribaves
arribe: arrib,arriba
arrisque: arrisca,arrisques
arrive: arriva,arrives
arrós: arròs,arrosa
arrossegue: arrossega,arrossegues
ars: are,ara
asalte: asalt,asalta
asalto: asalt,asaltos
asfixiante: asfixiant,asfixiantes
aspect: aspectes,aspects
aspecto: aspectes,aspectos
aspirante: aspirant,aspirantes
assaig: assajos,assaigs
assegurador: asseguradores,asseguradora
assessore: assessors,assessora
astut: astuta,astuts
atabal: atabales,atabala
atanse: atansa,atanses
atente: atent,atenta
atorgue: atorga,atorgues
atreve: atreu,atreves
augusto: augusta,augustos
aumento: aument,aumentos
aur: aura,aurs
auta: auto,autos
autes: auto,autos
autore: autor,autora
avale: aval,avala
avanço: avanç,avanços
aventatja: aventatge,aventatges
àvide: àvid,àvides
avie: avia,avies
avís: avise,avises
avisa: avise,avises
axiom: axiomes,axioma
bag: bac,baga
bages: bajo,bajos
bags: bac,baga
baig: bajo,bajos,baja
baile: bail,baila
baja: bajo,bajos
ballad: ballat,ballada,ballads
ballads: ballat,ballada
balle: ball,balles
banque: banca,banques
banquete: banquets,banqueta
bany: banya,banys
barallare: barallar,barallara
barbar: barbara,barbars
barc: barques,barca
bare: bars,bara
barreig: barreges,barreja
barrete: barrets,barreta
batall: batalles,batalla
bate: bades,bata
bave: bau,baves
beato: beats,beatos
bec: beques,beca
beg: beques,bega
begue: beques,begues
beguí: beguin,beguina
bele: bel,bela
bell: belles,bells
benjamí: benjamin,benjamina
bí: bin,bins
big: bigues,biga
bigote: bigot,bigotes
billete: billet,billetes
bite: bits,bites
blonde: blonda,blondes
bloque: bloc,bloques
boix: boixos,boixa
bojo: boges,bojos
boleto: bolet,boletos
boníssim: boníssimes,boníssima
bor: bora,bors
borne: born,bornes
borse: borsa,borses
bote: bot,bota
brac: bragues,braca
braço: braç,braços
branc: branques,branca
brec: brega,breca
breve: breus,breves
brigade: brigada,brigades
brillante: brillants,brillantes
britànic: britàniques,britànics
brog: broc,broga
brote: brots,brota
brune: brun,bruna
brute: bruts,brutes
bruto: bruts,brutos
bufe: buf,bufa
buid: buides,buids
bulle: bulls,bulla
buste: bust,busta
busto: bust,bustos
caballe: caballs,caballa
cabrejo: cabreig,cabrejos
cac: caga,caca
cacahuete: cacahuet,cacahuetes
cad: cat,cada,cads
cadete: cadets,cadetes
cads: cat,cada
cagó: cagon,cagons
cagona: cagon,cagons
cague: caga,cagues
caiente: caient,caientes
caig: caic,caiga
caigue: caic,caigues
caimà: caiman,caimans
caixet: caixetes,caixeta
caja: caic,caiga
calaixo: calaix,calaixos
calder: calderes,caldera
cambie: cambia,cambies
campist: campistes,campista
cancerigen: cancerígens,cancerigens
candente: candent,candentes
candidate: candidat,candidata
candidato: candidat,candidatos
canelle: canell,canella
canonad: canonades,canonada
canònic: canòniques,canònica
cansare: cansar,cansara
cantante: cantants,cantanta
cantate: cantada,cantata
canviare: canviar,canviara
canvie: canvia,canvies
cany: canyes,canya
capaça: capaç,capaces
capfic: capfiques,capfica
capgrós: capgròs,capgrosos
capitale: capitals,capitales
característic: característiques,característica
carne: carns,carna
càrrecs: càrreg,càrregues
carregue: carrec,carregues
carrete: carret,carreta
cartutxo: cartutx,cartutxos
casco: cascs,cascos
caset: caseta,casets
casí: casin,casins
casina: casin,casins
casque: casca,casques
casse: cassa,casses
cassete: casset,casseta
castelle: castells,castella
cate: cat,cata
categorie: categoria,categories
catxe: catxa,catxes
causante: causant,causantes
caute: cauts,cauta
cave: caus,caves
cele: cels,cela
cell: cella,cells
cente: cents,centa
centrale: centrals,centrala
certe: certs,certa
certifique: certifica,certifiques
científic: científiques,científica
cime: cim,cima
cinquanté: cinquantè,cinquantena
cinqué: cinquè,cinquena
cint: cintes,cinta
cistell: cistelles,cistells
cit: cid,cides
clinic: cliniques,clinica
clínic: clíniques,clínics
cló: clon,clons
çó: çò,çons
cobarde: cobard,cobardes
coc: coques,coca
coda: code,codes
cog: coques,coga
cognitiu: cognitives,cognitiva
coherente: coherent,coherentes
coincidente: coincident,coincidentes
coixo: coix,coixos
colegue: colega,colegues
colgue: colga,colgues
coll: colles,colls
colleja: college,colleges
collite: collides,collita
cols: cole,cola
comandante: comandants,comandanta
comande: comanda,comandes
comarque: comarca,comarques
combaté: combaten,combatens
començada: començar,començat
començades: començar,començat
començats: començar,començat
començau: començaves,començava
comentare: comentar,comentara
comento: comenta,comentos
comete: comet,cometes
comique: comics,comiques
còmode: còmoda,còmodes
compactos: compacte,compacta
compacts: compacte,compacta
comparative: comparatius,comparatives
compense: compensa,compenses
competente: competent,competentes
competitive: competitiva,competitives
complemento: complements,complementos
complet: completes,complets
complexo: complex,complexos
componente: component,componentes
composte: compostos,composta
compre: compro,compra
comprenda: comprende,comprendes
compres: compro,compra
compromés: compromès,compromesa
compromete: compromet,comprometa
compulsive: compulsiva,compulsives
computador: computadores,computadora
comunale: comunals,comunales
comunicare: comunicar,comunicara
comunique: comunica,comuniques
concepto: conceptes,conceptos
concert: concerta,concerts
concrete: concrets,concreta
concreto: concrets,concretos
concursante: concursants,concursanta
concurso: concurs,concursos
conectare: conectar,conectara
confirm: confirma,confirms
conflict: conflicte,conflictes,conflicts
conflictive: conflictiu,conflictives
conflicto: conflicte,conflictes,conflictos
conflictos: conflicte,conflictes
conflicts: conflicte,conflictes
conforte: confort,conforta
confront: confrontes,confronta
congue: conga,congues
conjunto: conjunts,conjuntos
conque: conca,conques
consciencie: consciencia,consciencies
consciente: conscients,conscientes
consecutiu: consecutives,consecutius
consentire: consentir,consentira
consider: considere,consideres,considers
considers: considere,consideres
consistente: consistent,consistentes
consorte: consort,consortes
constante: constant,constanta
constat: constata,constats
construeixe: construeix,construeixes
consume: consum,consuma
contact: contacta,contacts
contaminante: contaminants,contaminantes
contemplave: contemplava,contemplaves
contente: content,contenta
contexte: context,contextes
contexto: context,contextos
continente: continents,continentes
contingente: contingent,contingentes
continuos: continuat,continuo
contracte: contract,contracta
contrapés: contrapès,contrapesos
contraste: contrastos,contrasta
contrataque: contrataca,contrataques
contrate: contrades,contrata
contrato: contrades,contratos
controle: controls,controles
contundente: contundent,contundentes
conveniente: convenient,convenientes
convers: converses,conversa
convincente: convincent,convincentes
convocante: convocant,convocantes
convoque: convoca,convoques
cooperative: cooperatiu,cooperatives
cope: cop,copa
copete: copets,copeta
corda: corde,cordes
cordiale: cordial,cordiales
cords: corde,cordes
corne: corn,corna
corque: corca,corques
correcto: correctes,correctos
corrupto: corrupta,corruptos
corsa: cora,cors
corses: cora,cors
corsos: cora,cors
costume: costums,costuma
cote: cots,cota
coto: cots,cotos
coupe: coup,coupes
create: creada,creata
crei: creies,creia
creié: creien,creiens
creix: creixes,creixa
creixé: creixen,creixens
cremave: cremava,cremaves
creme: crem,cremes
crepe: creps,crepes
crid: crit,crides,crids
crids: crit,crides
crie: cria,cries
crite: crit,crita
