abandons's: abandoning,abandons
abbas's: abba,abbas
abdicating's: abdicate,abdicating
abducting's: abducted,abducting
abetting's: abetted,abetting
abiding's: abide,abiding
aborting's: abort,aborting
abrahams's: abraham,abrahams
abrams's: abram,abrams
absenting's: absent,absenting
absorbing's: absorb,absorbing
abstracting's: abstract,abstracting
accelerating's: accelerates,accelerating
accentuating's: accentuate,accentuating
accepting's: accepts,accepting
accessing's: access,accessing
accommodating's: accommodate,accommodating
accompanying's: accompany,accompanying
accomplishing's: accomplished,accomplishing
according's: accord,according
accosting's: accosted,accosting
accountings: accounted,accounting
accountings': accounted,accounting
accounting's: accounted,accounting
accumulating's: accumulate,accumulating
accused's: accuse,accused
accusing's: accuse,accusing
accustoming's: accustomed,accustoming
acing's: aces,acing
acknowledging's: acknowledged,acknowledging
acquainting's: acquaint,acquainting
acquiring's: acquire,acquiring
acquitting's: acquitted,acquitting
acting's: act,acting
activating's: activate,activating
adame: nodame,nodames
adame's: nodame,nodames
adapting's: adapted,adapting
addicting's: addicts,addicting
adebises: adebisi,adebisis
adebises': adebisi,adebisis
adebisis's: adebisi,adebisis
ademing's: adem,ademing
ade's: ake,ade
adjourning's: adjourned,adjourning
administering's: administer,administering
admitting's: admits,admitting
adopting's: adopt,adopting
adoring's: adored,adoring
advancing's: advances,advancing
advantaging's: advantages,advantaging
adventuring's: adventures,adventuring
advertisings: advertise,advertising
advertisings': advertise,advertising
advertising's: advertise,advertising
advising's: advised,advising
advocating's: advocate,advocating
aeroplane: airplanes,airplane
aeroplanes: airplanes,airplane
aeroplanes': airplanes,airplane
aeroplane's: airplanes,airplane
affiliating's: affiliate,affiliating
affording's: affords,affording
ager: teenager,teen-ager
agers: teenager,teen-ager
agers': teenager,teen-ager
ager's: teenager,teen-ager
aggravating's: aggravated,aggravating
agitating's: agitated,agitating
agonising's: agonized,agonizing
agonizing's: agonized,agonizing
achieving's: achieved,achieving
aiding's: aids,aiding
ailing's: ail,ailing
aiming's: aimed,aiming
airings: aired,airing
airings': aired,airing
airing's: aired,airing
airlifting's: airlift,airlifting
akibas's: akiba,akibas
akselings: aksel,akseling
akselings': aksel,akseling
akseling's: aksel,akseling
aksellings: aksel,akselling
aksellings': aksel,akselling
akselling's: aksel,akselling
aksels's: aksel,aksels
alarming's: alarmed,alarming
alciding's: alcide,alciding
aleistering's: aleister,aleistering
alerting's: alerted,alerting
aliasing's: alias,aliasing
allowancing's: allowance,allowancing
allowing's: allows,allowing
alluring's: allure,alluring
allying's: allies,allying
altering's: alter,altering
alternating's: alternate,alternating
amadeoing's: amadeo,amadeoing
amassing's: amass,amassing
amazing's: amazed,amazing
ambitioning's: ambitions,ambitioning
ambushing's: ambushed,ambushing
amedeoing's: amedeo,amedeoing
amending's: amends,amending
amis's: ami,amis
ammunitioning's: ammunition,ammunitioning
amnestying's: amnesty,amnestying
amounting's: amounted,amounting
am's: is,am
amusing's: amuse,amusing
an: ane,aned
analyses': analyzed,analyses
analysing's: analyzed,analyzing
analysis: analyzed,analyses
analysis's: analyzed,analyses
analyzing's: analyzed,analyzing
andas's: anda,andas
andres's: andre,andres
andth: andthe,andthed
andtheds: andthe,andthed
andtheds': andthe,andthed
andthed's: andthe,andthed
andthes's: andthe,andthes
andthings: andthe,andthing
andthings': andthe,andthing
andthing's: andthe,andthing
andths: andthe,andthed
andths': andthe,andthed
andth's: andthe,andthed
anes's: ane,anes
anglings: angles,angling
anglings': angles,angling
angling's: angles,angling
anguishing's: anguish,anguishing
anchoring's: anchor,anchoring
animating's: animate,animating
anings: ane,aning
anings': ane,aning
aning's: ane,aning
anis: ano,ani
anis': ano,ani
annexe: annexed,annex
annexe's: annexed,annex
annoying's: annoyed,annoying
anoe: ano,anoes
anoed: ano,anoes
anoeing: ano,anoes
anoe's: ano,anoes
anos's: ano,anos
answering's: answer,answering
antheming's: anthem,antheming
anticipating's: anticipated,anticipating
antiquing's: antiques,antiquing
antis: anto,anti
antis': anto,anti
anuses: anu,anus
anuses': anu,anus
anus's: anu,anus
apas's: apa,apas
aping's: apes,aping
apologising's: apologise,apologizing
apologizing's: apologise,apologizing
applauding's: applaud,applauding
applying's: applies,applying
appointing's: appoint,appointing
appraising's: appraised,appraising
appreciating's: appreciates,appreciating
apprehending's: apprehended,apprehending
apprenticing's: apprentice,apprenticing
approaching's: approached,approaching
approving's: approved,approving
aproning's: apron,aproning
arcading's: arcade,arcading
arcing's: arc,arcing
arenting's: arent,arenting
arents's: arent,arents
arerted's: arert,arerted
arerting's: arert,arerting
arerts's: arert,arerts
argos's: argo,argos
arguing's: argued,arguing
arching's: arch,arching
architecting's: architect,architecting
archiving's: archives,archiving
arising's: arise,arising
armoring's: armored,armoring
armouring's: armored,armoring
arnolds's: arnold,arnolds
arousing's: aroused,arousing
arraying's: array,arraying
arriving's: arrived,arriving
arrowing's: arrows,arrowing
arsis: arsed,arses
arsis's: arsed,arses
articling's: articles,articling
artooing's: artoo,artooing
ascertaining's: ascertained,ascertaining
asking's: ask,asking
asphyxiating's: asphyxiated,asphyxiating
aspiring's: aspired,aspiring
ass: arsed,arses
