אאוך: אאוכן,אאוךן
אבדוןין: אבדונינו,אבדוןיןו
אבדותי: אבדותינו,אבדותיןו
אבדותין: אבדותינו,אבדותיןו
אבדן: אבדנו,אבדןו
אבדןי: אבדנינו,אבדןיןו
אבדןין: אבדנינו,אבדןיןו
אבובין: אבובינו,אבוביןו
אבולוץ: האבולוציה,אבולוץיה
אבולוץי: אבולוצייתך,אבולוץייתך
אבולוץיותי: אבולוציותינו,אבולוץיותיןו
אבולוץיותין: אבולוציותינו,אבולוץיותיןו
אבולוץייה: אבולוצייתך,אבולוץייתך
אבולוץית: אבולוציות,אבולוץיות
אבוסין: אבוסינו,אבוסיןו
אבוקדותי: אבוקדותינו,אבוקדותיןו
אבוקדותין: אבוקדותינו,אבוקדותיןו
אבוקותי: אבוקותינו,אבוקותיןו
אבוקותין: אבוקותינו,אבוקותיןו
אבותי: אבותינו,אבותיןו
אבותין: אבותינו,אבותיןו
אבזורין: אבזורינו,אבזוריןו
אבזםין: אבזמינו,אבזםיןו
אבחוןין: אבחונינו,אבחוןיןו
אבחותי: אבחותינו,אבחותיןו
אבחותין: אבחותינו,אבחותיןו
אבחן: האבחנה,אבחןה
אבחןותי: אבחנותינו,אבחןותיןו
אבחןותין: אבחנותינו,אבחןותיןו
אבטוחין: אבטוחינו,אבטוחיןו
אבטחותי: אבטחותינו,אבטחותיןו
אבטחותין: אבטחותינו,אבטחותיןו
אבטיחין: אבטיחינו,אבטיחיןו
אבטלותי: אבטלותינו,אבטלותיןו
אבטלותין: אבטלותינו,אבטלותיןו
אביבין: אביבינו,אביביןו
אביוןותין: אביונותינו,אביוןותיןו
אביוןין: אביונינו,אביוןיןו
אביזרין: אביזרינו,אביזריןו
אבין: אבינו,אביןו
אבירויותי: אבירויותינו,אבירויותיןו
אבירויותין: אבירויותינו,אבירויותיןו
אבירין: אבירינו,אביריןו
אבןטין: אבנטינו,אבןטיןו
אבסורדין: אבסורדינו,אבסורדיןו
אבעבועותי: אבעבועותינו,אבעבועותיןו
אבעבועותין: אבעבועותינו,אבעבועותיןו
אבקותי: אבקותינו,אבקותיןו
אבקותין: אבקותינו,אבקותיןו
אבקןין: אבקנינו,אבקןיןו
אברוןי: אברונינו,אברוןיןו
אברוןין: אברונינו,אברוןיןו
אברותי: אברותינו,אברותיןו
אברותין: אברותינו,אברותיןו
אברין: אברינו,אבריןו
אברךין: אברכינו,אברךיןו
אגדותי: אגדותינו,אגדותיןו
אגדותין: אגדותינו,אגדותיןו
אגדין: אגדינו,אגדיןו
אגודותי: אגודותינו,אגודותיןו
אגודותין: אגודותינו,אגודותיןו
אגודלין: אגודלינו,אגודליןו
אגוזין: אגוזינו,אגוזיןו
אגורותי: אגורותינו,אגורותיןו
אגורותין: אגורותינו,אגורותיןו
אגזוזין: אגזוזינו,אגזוזיןו
אגיך: באגיכם,באגיךם
אגין: באגינו,באגיןו
אגירותי: אגירותינו,אגירותיןו
אגירותין: אגירותינו,אגירותיןו
אגך: באגכם,באגךם
אגלין: אגלינו,אגליןו
אגםוןי: אגמונינו,אגםוןיןו
אגםוןין: אגמונינו,אגםוןיןו
אגםין: אגמינו,אגםיןו
אגןוסטיק: אגנוסטיקני,אגןוסטיקן
אגןין: אגנינו,אגןיןו
אגסין: אגסינו,אגסיןו
אגסן: אגסנו,אגסןו
אגףין: אגפינו,אגףיןו
אגרון: אגרונומה,אגרוןום
אגרוןו: אגרונומה,אגרוןום
אגרוןוםיותי: אגרונומיותינו,אגרוןוםיותיןו
אגרוןוםיותין: אגרונומיותינו,אגרוןוםיותיןו
אגרוןוםין: אגרונומינו,אגרוןוםיןו
אגרוףין: אגרופינו,אגרוףיןו
אגרוףןיותי: אגרופניותינו,אגרוףןיותיןו
אגרוףןיותין: אגרופניותינו,אגרוףןיותיןו
אגרוףןין: אגרופנינו,אגרוףןיןו
אגרותי: אגרותינו,אגרותיןו
אגרותין: אגרותינו,אגרותיןו
אגרטלין: אגרטלינו,אגרטליןו
אדוותין: אדוותינו,אדוותיןו
אדוןין: אדונינו,אדוןיןו
אדוןן: אדוננו,אדוןןו
אדיבויותי: אדיבויותינו,אדיבויותיןו
אדיבויותין: אדיבויותינו,אדיבויותיןו
אדיףאל: אדיפלי,אדיףאלי
