adrijano: adrijan,adrijana
aerobica: aerobika,aerobici,aerobice
aerobice: aerobika,aerobici
aerobicom: aerobika,aerobici
aerobicu: aerobika,aerobici
agenat: agentu,agenatima
agresivan: agresivna,agresivni
agrokorov: agrokor,agrokorova
agrokorovih: agrokor,agrokorova
agrokorovim: agrokor,agrokorova
agrokorovu: agrokor,agrokorova
akademič: akademik,akademiče
akademij: akademiji,akademija
akcenata: akcent,akcentom
akcija: akcijama,akcije
akcio: akcijama,akcije
aktivnomu: aktivan,aktivnom
alatoma: alate,alatom
alk: alkin,alki,alkom
alkohol: alkoholom,alkohole
alkom: alkin,alki
alku: alkin,alki
ambicij: ambiciju,ambicija
ambicijam: ambiciju,ambicijama
američk: američku,američki
američkomu: američku,američkom
amonijev: amonij,amonijeva
amonijevih: amonij,amonijeva
amonijevog: amonij,amonijeva
analitičan: analitični,analitična
analiziral: analizirali,analizirala
andrićev: andrić,andrićeva
andrićevih: andrić,andrićeva
andrićevog: andrić,andrićeva
andrićevoj: andrić,andrićeva
andrićevom: andrić,andrićeva
andrićevu: andrić,andrićeva
aneurizam: aneurizme,aneurizma
anodan: anodni,anodna
anoreksičan: anoreksični,anoreksična
antica: antika,antici,antico
antico: antika,antici
aplikacij: aplikaciju,aplikacija
apokrifan: apokrifni,apokrifna
apsoluto: apsolut,apsoluta
arhimedovu: arhimed,arhimedova
arhipelg: arhipelag,arhipelaga
arhitekat: arhitekta,arhitekatima
arhitektov: arhitekta,arhitektova
arhitektovim: arhitekta,arhitektova
arhitektovu: arhitekta,arhitektova
arhiv: arhivi,arhiva
arhivistica: arhivistika,arhivistici,arhivistice
arhivistice: arhivistika,arhivistici
armenko: armenac,armenci
artemid: artemida,artemidu
aseptičan: aseptični,aseptična
asinkronih: asinkron,asinkrona
asinkronim: asinkron,asinkrona
asinkrono: asinkron,asinkrona
asinkronog: asinkron,asinkrona
atraktivan: atraktivna,atraktivni
atrofičan: atrofični,atrofična
augustinčićev: augustinčić,augustinčićeva
augustinčićevih: augustinčić,augustinčićeva
augustinčićevog: augustinčić,augustinčićeva
autarkičan: autarkični,autarkična
auto: auti,autima
avenij: aveniju,avenija
bacija: bacil,bacila
bacije: bacil,bacila
bacio: bacil,bacila
